Account ID,Account Name,Restaurant Street,Restaurant City/Suburb,Restaurant Postcode,Restaurant State,Country,Own Website
0019000001TPv9V,Kafir Lime Special Lunch Menu,"246 Oxford StreetLevinHorowhenua District",Levin,5510,NZL,New Zealand,kaffirlimecafe.co.nz
0019000001TP0OD,Kaffir Lime Cafe Thai Cuisine,"246 Oxford StreetLevin, New Zealand",Levin,5510,NZL,New Zealand,kaffirlimecafe.co.nz
0019000001Y35WJ,Spizealand Indian Kitchen,"13 / 1 Marine ParadeMt MaunganuiTauranga",Mt Maunganui / Tauranga,3116,NZL,New Zealand,
0019000001UgT3D,Spice Traders Online Specials,"97 Victoria RoadDevonport",Devonport / Auckland,624,NZL,New Zealand,spicetraders.co.nz
0019000001WDw7U,Tandoori Pakwan Lunch Time Deliveries,"18-24 Allen Street, Te AroWellington",Te Aro / Wellington,6011,NZL,New Zealand,tandooripakwan.nz
0019000001Ufvk8,Pizza King,"65 Main StreetHuntlyWaikato",Huntly / Waikato,3700,NZL,New Zealand,
0019000001UgTfA,Cafe Al - Madina,3/321 Karangahape Rd (K-Road),Auckland Central,1010,,New Zealand,
0019000001UiyUi,Curry Mehak Indian Takeaway & Delivery,"Cnr 381 Te-ngae Rd, Basley, Rotorua",Basley / Rotorua,3010,NZL,New Zealand,currymehak.co.nz
0019000001WDw4G,Tandoori Pakwan Dinner Deals,"18-24 Allen Street, Te AroWellington",Te Aro / Wellington,6011,NZL,New Zealand,tandooripakwan.nz
0019000001WDOXA,Crave Coffee,"The PointBroadway StreetNgaruawahia, Waikato","Ngaruawahia, Waikato",3720,NZL,New Zealand,
0019000001Uh0Sm,Indian Taj Lunch Time Only,"109 High Street NorthCarterton",Carterton / Wellington,0,NZL,New Zealand,
0019000001UiyUJ,Swad Online Specials,"9 Aviemore Dr, Highland Park, Auckland 2010",Highland Park / Auckland,2010,NZL,New Zealand,swad.co.nz
0019000001WEFoU,Mughlai MerCury,"2/248 Willis StreetTe Aro",Te Aro / Welington,6011,NZL,New Zealand,
0019000001UglPN,Celies Catering,516 Adelaide Road,Berhampore / Wellington,6023,NZL,New Zealand,
0019000001Ug3cO,Waihi Pizza Club,"3/47 Seddon StreetWaihi / Waikato",Waihi / Waikato,3610,Auckland,New Zealand,
0019000001UgR2u,Erawann Thai Authentic Thai Cuisine,"6/280 Richmond Road, Grey Lynn, Auckland",Grey Lynn / Auckland,1021,NZL,New Zealand,
0019000001UhEmJ,Star of India Takeaways & Deliveries,"276 Rangitikei St, Palmerston North Central, Manawatu-Wanganui",Palmerston North / Manawatu-Wanganui,4410,NZL,New Zealand,
0019000001WEFgz,Adulis Eritrean Ethiopian & African Cuisine,"6/100 Tory StreetTe Aro / Wellington",Te Aro / Wellington,6011,NZL,New Zealand,
0019000001UhPDi,Mint Catering,"400 Titirangi RoadTitirangiAuckland",Titirangi / Auckland,604,NZL,New Zealand,
0019000001WEFs2,Mughlai Lunch Time Deliveries,"248 Willis StreetTe Aro",Te Aro / Welington,6011,NZL,New Zealand,
0019000001UhFRN,ShangHai Chinese Restaurant,"44 Horsham Downs Road, Rototuna, Hamilton",Rototuna / Hamilton,3216,NZL,New Zealand,
0019000001Ugkk5,Celies Waffle House & American Cuisine,"516 Adelaide RoadBerhampore",Berhampore / Wellington,6023,NZL,New Zealand,celiesnz.com
0019000001UiTZj,Demo Christchurch Test Venue,Moorhouse Avenue,Christchurch,0,NZL,New Zealand,
0019000001UiuDw,Taste of Raj Restaurant,"91 Jackson StreetPetone",Petone / Wellington,5012,NZL,New Zealand,tasteofraj.co.nz
0019000001Ug6lI,Heaven Woodfire Pizza,"247 Cuba Street Te Aro Wellington Central",Te Aro / Wellington,6011,NZL,New Zealand,heavenspizza.co.nz
0019000001GuGgH,Select Pizza - Papatoetoe,Corner Great South Road & St George Street¾,Papatoetoe,,NZ,New Zealand,selectpizza.co.nz